"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/1990","AQS","060811001","1","30","ppb","28","Redwood City","24","100.0000","42602","Nitrogen dioxide (NO2)","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/02/1990","AQS","060811001","1","40","ppb","38","Redwood City","24","100.0000","42602","Nitrogen dioxide (NO2)","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/03/1990","AQS","060811001","1","60","ppb","57","Redwood City","23","96.0000","42602","Nitrogen dioxide (NO2)","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/04/1990","AQS","060811001","1","70","ppb","68","Redwood City","24","100.0000","42602","Nitrogen dioxide (NO2)","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/05/1990","AQS","060811001","1","70","ppb","68","Redwood City","24","100.0000","42602","Nitrogen dioxide (NO2)","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/06/1990","AQS","060811001","1","50","ppb","47","Redwood City","24","100.0000","42602","Nitrogen dioxide (NO2)","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/07/1990","AQS","060811001","1","50","ppb","47","Redwood City","24","100.0000","42602","Nitrogen dioxide (NO2)","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/08/1990","AQS","060811001","1","50","ppb","47","Redwood City","24","100.0000","42602","Nitrogen dioxide (NO2)","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/09/1990","AQS","060811001","1","60","ppb","57","Redwood City","23","96.0000","42602","Nitrogen dioxide (NO2)","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/10/1990","AQS","060811001","1","50","ppb","47","Redwood City","22","92.0000","42602","Nitrogen dioxide (NO2)","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/11/1990","AQS","060811001","1","70","ppb","68","Redwood City","24","100.0000","42602","Nitrogen dioxide (NO2)","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/12/1990","AQS","060811001","1","30","ppb","28","Redwood City","24","100.0000","42602","Nitrogen dioxide (NO2)","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/13/1990","AQS","060811001","1","30","ppb","28","Redwood City","24","100.0000","42602","Nitrogen dioxide (NO2)","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/14/1990","AQS","060811001","1","30","ppb","28","Redwood City","24","100.0000","42602","Nitrogen dioxide (NO2)","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/15/1990","AQS","060811001","1","30","ppb","28","Redwood City","24","100.0000","42602","Nitrogen dioxide (NO2)","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/16/1990","AQS","060811001","1","40","ppb","38","Redwood City","24","100.0000","42602","Nitrogen dioxide (NO2)","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/17/1990","AQS","060811001","1","30","ppb","28","Redwood City","23","96.0000","42602","Nitrogen dioxide (NO2)","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/18/1990","AQS","060811001","1","40","ppb","38","Redwood City","24","100.0000","42602","Nitrogen dioxide (NO2)","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
